TIME, stress, Xdisp
2.E-02, 15.7373979, 6.E-02
5.75E-02, 45.2698173, 0.1725
0.11403125, 89.8052053, 0.34209375
0.148203125, 116.685483, 0.444609375
0.176679687, 139.054378, 0.530039062
0.202308594, 158.979288, 0.606925781
0.235946533, 184.615737, 0.7078396
0.260093768, 201.410421, 0.780281305
0.284421207, 213.655902, 0.85326362
0.291828912, 215.185743, 0.875486735
0.292915162, 211.540091, 0.878745487
0.293112297, 203.800555, 0.87933689
0.293337769, 198.316268, 0.880013307
0.293374445, 195.660641, 0.880123336
0.293388233, 191.567304, 0.880164698
0.293396791, 186.914561, 0.880190372
0.293402567, 184.295182, 0.880207701
0.293409174, 182.171396, 0.880227522
0.29341486, 179.413262, 0.88024458
0.293427654, 177.165142, 0.880282963
0.293456441, 175.085921, 0.880369323
0.293521211, 173.299874, 0.880563632
0.293666943, 171.897604, 0.881000829
0.293758754, 170.895676, 0.881276263
0.293896472, 169.670308, 0.881689415
0.294154691, 168.432292, 0.882464073
0.294735685, 167.104506, 0.884207054
0.296042921, 166.328105, 0.888128763
0.298984202, 165.992208, 0.896952606
0.30021954, 165.291493, 0.90065862
0.302535799, 164.833348, 0.907607397
0.307747381, 165.64832, 0.923242144
0.319473442, 168.818582, 0.958420327
0.32686086, 169.708403, 0.980582581
0.334894678, 170.797999, 1.00468403
0.336639955, 168.363684, 1.00991987
0.337513108, 166.787841, 1.01253932
0.33751319, 166.494587, 1.01253957
0.337513232, 165.562005, 1.0125397
0.337513252, 164.910872, 1.01253976
0.337513277, 163.860616, 1.01253983
0.337513309, 162.381383, 1.01253993
0.337513329, 161.474681, 1.01253999
0.337513367, 159.86364, 1.0125401
0.337513451, 157.143576, 1.01254035
0.337513641, 153.986412, 1.01254092
0.337513795, 152.651365, 1.01254138
0.337513988, 151.646044, 1.01254196
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
