TIME, stress, Xdisp
2.E-02, 18.4747867, 6.E-02
5.75E-02, 53.314202, 0.1725
0.11403125, 105.990851, 0.34209375
0.1368125, 127.203562, 0.4104375
0.165431445, 153.713049, 0.496294336
0.194263965, 179.223224, 0.582791895
0.217618306, 197.442038, 0.652854917
0.235425991, 207.379299, 0.706277972
0.238322659, 205.141101, 0.714967976
0.2386775, 200.385644, 0.716032501
0.238720969, 195.647922, 0.716162906
0.238726293, 191.147859, 0.71617888
0.238726538, 188.143652, 0.716179613
1, 7.888609052E-31, 0.716179673
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
