TIME, stress, Xdisp
2.E-02, 16.2453817, 6.E-02
5.75E-02, 46.7870622, 0.1725
0.11403125, 92.8722204, 0.34209375
0.1368125, 111.434487, 0.4104375
0.166712891, 135.753637, 0.500138672
0.198749023, 161.452651, 0.59624707
0.227581543, 183.365434, 0.682744629
0.247043494, 196.008507, 0.741130481
0.2693031, 209.670571, 0.807909299
0.288460957, 215.904386, 0.865382872
0.305990397, 221.148619, 0.917971192
0.309656493, 218.088157, 0.928969478
0.310105589, 212.113341, 0.930316768
0.310160604, 205.72347, 0.930481812
0.310167343, 199.096837, 0.930502029
0.310168169, 192.574604, 0.930504506
0.310168458, 183.444247, 0.930505373
0.31016851, 176.800121, 0.93050553
0.310168576, 169.52696, 0.930505727
0.310168723, 165.383, 0.930506169
0.310169055, 162.965053, 0.930507165
0.310169802, 160.949724, 0.930509405
0.310171481, 159.36461, 0.930514444
0.310175261, 157.609441, 0.930525784
0.310176412, 156.904681, 0.930529237
0.310176894, 155.178106, 0.930530683
0.310177207, 153.078346, 0.930531621
0.31017791, 151.999276, 0.930533731
0.310179492, 151.000307, 0.930538477
0.310183053, 149.341186, 0.930549158
0.310191063, 147.271151, 0.930573188
0.310205481, 145.478714, 0.930616443
0.310232515, 144.007475, 0.930697546
0.310293342, 143.164972, 0.930880027
0.310430203, 142.626141, 0.93129061
0.310516426, 142.22526, 0.931549278
0.310678093, 141.685689, 0.932034279
0.311041844, 140.984628, 0.933125532
0.311860284, 140.482542, 0.935580851
0.313701773, 140.475109, 0.941105319
0.317845124, 141.322257, 0.953535373
0.327167664, 143.753837, 0.981502993
0.348143379, 149.059766, 1.04443014
0.379606952, 154.888624, 1.13882086
0.399429003, 155.642667, 1.19828701
0.399982177, 154.181997, 1.19994653
0.400082568, 150.330497, 1.2002477
0.400270801, 146.982274, 1.2008124
0.400694326, 144.819524, 1.20208298
0.401361376, 143.805571, 1.20408413
