TIME, stress, Xdisp
2.E-02, 18.3489364, 6.E-02
5.75E-02, 52.9569534, 0.1725
0.1165625, 107.595322, 0.3496875
0.141875, 130.965042, 0.425625
0.175097656, 161.408864, 0.525292969
0.198946777, 181.741293, 0.596840332
0.222973877, 196.931338, 0.668921631
0.23811095, 202.892168, 0.714332849
0.255423977, 209.657632, 0.76627193
0.258240182, 206.275307, 0.774720545
0.25852703, 202.324339, 0.775581091
0.258532207, 198.365117, 0.775596622
0.258533083, 193.21609, 0.77559925
0.258533273, 185.129668, 0.77559982
0.258533559, 179.152748, 0.775600676
0.258533667, 177.354179, 0.775601002
0.258533698, 172.900171, 0.775601093
0.258533723, 171.181049, 0.775601169
1, 7.888609052E-31, 0.775601199
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
