TIME, stress, Xdisp
2.E-02, 17.0118034, 6.E-02
5.75E-02, 48.945089, 0.1725
0.141875, 120.82057, 0.425625
0.17984375, 153.116237, 0.53953125
0.211484375, 179.809783, 0.634453125
0.239960938, 202.908303, 0.719882813
0.261318359, 217.423982, 0.783955078
0.288148621, 233.995965, 0.864445862
0.293257383, 232.694926, 0.879772148
0.293929563, 227.696186, 0.88178869
0.29402813, 222.390875, 0.882084391
0.294046019, 213.694613, 0.882138056
0.294052358, 209.905505, 0.882157073
0.294054576, 203.534139, 0.882163729
0.294054848, 200.628367, 0.882164545
0.29405495, 196.223894, 0.882164851
1, 7.888609052E-31, 0.882164911
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
7.888609052E-31, 0, 0
